company_id,vat
10441384,"DE 127487424"
8810005,"DE 245 732 6028"
9730681,"DE 257859821"
3370952,"100 1563 82"
5690735,"DE152093141"
12535685,"BE.0875.774.594"
4160098,"896 7242 69"
3360195,"932 3021 66"
8079693,"27050561599C"
8079693,"27050561599V"
3617113,"DE 135099420"
8527801,"923 9646 94"
3844786,"GB 787 4420 95"
7009057,"BE 0411 643 551"
12282084,"IT 03554090286"
3553309,"GB 875 4465 84"
13643326,"803 2782 46"
3527981,"761119054"
9257043,"08702171003"
13046183,"894364383"
13876321,"12362780152"
5153290,"0870 001 017"
13693059,"03772150243"
5581197,"DE276725355"
4364191,"ATU 15976709"
3400144,"826728307"
3280225,"796 6370 73"
14147478,"GB 976 4660 72"
10332860,"01922820186"
12967173,"456 0461 55"
5548802,"155 4945 85"
7931530,"DE178321218"
3343751,"992 4910 855"
11034421,"06865160961"
13639298,"482 4812 35"
7025596,"02578030153"
3632075,"480 7305 49"
6324739,"07293550963"
4364672,"00436960488"
6263076,"4140189491"
12073110,"01295370058"
4362300,"855 34 5019"
7101924,"NL007508657B01"
7101924,"NL009732184B01"
7101924,"NL805319050B01"
14019742,"GB 947066402"
10855560,"DE272953385"
6917645,"301297646"
3282112,"816915513"
3639511,"GB521043306"
3716322,"841 6298 15"
11565387,"FR 10 350 476 487"
7383063,"IT00341850121"
12956977,"DE 814143340"
6990477,"DE 262 856 124"
6993176,"02984051215"
6724558,"DE815159179"
6512502,"DE250541834"
6314326,"FR 22-424-761-419"
4410798,"768 6351 86"
3599084,"662 1773 32"
3291621,"755559588"
12385297,"806 161 748"
12317701,"DE 14285 72 69"
3516710,"DE 811 203 300"
8787033,"NL8124.80.909.B01"
3773292,"Reg 989409062"
5291867,"DE 123762457"
7069449,"00261890081"
4599937,"GB 111 9885 07"
8299669,"9796966M"
6433113,"10905441001"
5047164,"904388909"
13637611,"129743982"
3614678,"235 6833 50"
6949337,"27530012315 C"
6949337,"27530012315 V"
5026141,"897676340"
3275379,"GB 766 367 000"
13040059,"EE100930986"
3414666,"973065212"
4379873,"896 143 490"
3599853,"155 8599 16"
3493860,"745 9711 02"
5080794,"0453.139.854"
7615505,"DE 264190340"
14818331,"591496109"
13654758,"831 9397 05"
6630978,"BE 878.634.710"
3388234,"812 3491 51"
6035453,"DE 814948635"
13698501,"754 9569 75"
3582712,"536350409"
3631459,"199 1454 25"
3376419,"593 4422 27"
8301603,"103873594"
73901,"113210484"
8849064,"DE 221373879"
8008856,"DE 111 745 790"
5727150,"IE3279399U"
12456805,"BE 0475.427.484"
10669427,"24075103708"
10669427,"24575103708"
7634992,"DE 217317669"
7379514,"NL 8038 51 388 B01"
3608494,"408125478"
4245102,"598 4206 03"
12386867,"842 1045 63"
7866436,"EE100278570"
11549145,"DE274934795"
3914340,"900590649"
5207822,"4600116919"
3373181,"990 7051 07"
5298272,"01689560983"
5090327,"DE271120889"
10730508,"DE 230923243"
3650060,"294 5389 12"
3394169,"863 4422 24"
5432137,"03592180271"
11549693,"DE235536008"
3545191,"GB 718 2119 48"
3555584,"8072 49329"
12965019,"GB 707 6853 67 of"
11131174,"DE 241612830"
10436684,"20/039/60385"
11949001,"DE 114145781"
3434105,"939 8094 69"
9637264,"DE 238 253 950"
5326439,"DE 123104885"
10154391,"27150588801 C"
10154391,"27150588801 V"
7058647,"01156880229 C"
7217114,"DE 812 508 740"
13647334,"GB 325 8629 38"
11262729,"GB 120 9456 29"
3587000,"620 1961 71"
64392,"105576520"
5025914,"855118326"
3599552,"170174974"
14817539,"GB 769 8182 67"
12538773,"DE812529831"
12966029,"865959651"
4365130,"758 117 809"
4677603,"ESB92563626"
4854930,"737 8307 09"
8834359,"00133990358"
3544799,"720160487"
7572249,"DE 277 286 380"
4615322,"GB 732545539"
12678577,"DE 269939038"
3350260,"GB 970 9621 93"
12601109,"DE225792170"
3809523,"825 5371 26"
5946289,"DK27279147"
3315050,"139 5283 90"
3299720,"934 3593 09"
5768154,"DE 263827980"
5507864,"LV 40003320069"
7852847,"GB 119 8295 82"
5576170,"DE814570978"
3576408,"GB 850 792 606"
14145432,"EE100845628"
3545829,"759 3548 83"
10440615,"06421610700 C"
10440615,"06421610700V"
15011711,"DE279562950"
120737,"836 9291 88"
4236415,"883 3214 22"
5162666,"06689700968"
